Product Title,URL,Description,Details
10OZ NON-STRETCH LAUNDERED DENIM - MEDIUM INDIGO,https://www.blackbirdfabrics.com/en-us/collections/fabric/products/10oz-non-stretch-laundered-denim-medium-indigo,"A wardrobe classic, this medium weight denim is the ideal pick for those who are new to sewing bottom weights. Made from 100% cotton, this denim is soft and easy to handle straight off the bolt. We love this non-stretch denim for skirts, jackets, overalls and accessories.

Up your sewing game! Grab one of our Jeans Hardware Kits for a professional finish on your next pair of handmade jeans.","{'Content': '100% Cotton', 'Width': '142cm / 56”', 'Weight': '330gsm / 10oz', 'Opacity': 'Opaque', 'Drape': 'Softly Structured', 'Country of Origin': 'China'}"
VISCOSE LINEN NOIL - RASPBERRY,https://www.blackbirdfabrics.com/en-us/collections/fabric/products/viscose-linen-noil-raspberry,"A perennial Blackbird favourite, our Viscose Linen Noil is a me-made wardrobe staple! Crafted from a delicious blend of viscose & linen, this midweight fabric boasts a fluid drape and uniquely slubby texture. Naturally breathable and opaque, this fabric is perfect to wear all year round, layered up during cooler months and on its own when it’s warm out. Soft to the touch with a rustic lived-in feel, we love this versatile blend for all sorts of breezy tops & shirts, flowy dresses, and swishy pants!","{'Content': '75% Viscose / 25% Linen', 'Width': '130cm / 51""', 'Weight': '230gsm / 6.8oz', 'Opacity': 'Opaque', 'Drape': 'Moderate', 'Country of Origin': 'China'}"
MEDLEY STRIPE POLY COTTON SEERSUCKER - VIRIDIAN,https://www.blackbirdfabrics.com/en-us/collections/fabric/products/medley-stripe-poly-cotton-seersucker-viridian-1,"Puckered to perfection, this timeless lightweight seersucker is the perfect addition for warm weather wardrobes. With a soft hand and a subtle crinkled texture, we are loving this yarn-dyed woven sewn up into a range of garments like classic button-ups, voluminous dresses, effortless skirts, and airy loungewear-inspired sets. Stripes are 6mm wide and run parallel to the selvedge.","{'Content': '50% Polyester / 40% Cotton / 10% Rayon', 'Width': '147cm / 58”', 'Weight': '128gsm / 2.3oz', 'Opacity': 'Opaque', 'Drape': 'Crisp', 'Country of Origin': 'China'}"
BUTTERCUP PRINTED COTTON TWILL - BLACK,https://www.blackbirdfabrics.com/en-us/collections/fabric/products/buttercup-printed-cotton-twill-black,"Our beloved Blackbird Exclusive Printed Cotton Twill is back! Our latest exclusive print collection boasts a lively mix of graphic and playful designs printed on our fan-favourite midweight cotton twill. Made from 100% cotton, this stable fabric is super versatile with a slightly structured, crisp drape that lends itself well to many different garment projects. More substantial than a shirting fabric but softer than a heavyweight denim or canvas, we love this easy to sew cotton twill for lightweight jackets, pants & structured skirts, pinafore dresses, and jumpsuits & overalls, as well as bags and accessories.","{'Content': '100% Cotton', 'Width': '150cm / 59”', 'Weight': '280gsm / 8.5oz', 'Opacity': 'Opaque', 'Drape': 'Crisp', 'Country of Origin': 'China'}"
WASHED COTTON POPLIN - OCEAN,https://www.blackbirdfabrics.com/en-us/collections/fabric/products/washed-cotton-poplin-ocean,Previously called Washed Cotton Shirting.,"{'Content': '100% Cotton', 'Width': '145cm / 57""', 'Weight': '110gsm / 3.2oz', 'Opacity': 'Opaque', 'Drape': 'Crisp', 'Country of origin': 'China'}"
BLOOM BLOCK PRINTED ORGANIC COTTON BATISTE - OCEAN/SPICE,https://www.blackbirdfabrics.com/en-us/collections/fabric/products/bloom-block-printed-organic-cotton-batiste-ocean-spice,"Ultra-lightweight with a crisp hand, this organic cotton block print is comfortable to wear and a dream to sew.  Ideal for quilted makes, voluminous tops & dresses, and classic button-ups, this printed cotton batiste is super versatile and easy to work with. The stunning floral motif design was printed by hand in Sanganer, Jaipur, India using traditional block printing techniques and azo-free dyes that prevent harmful runoff in the production process. They will fade beautifully into a soft vintage look with wash and wear.",{}
GO-TO COTTON LINEN BLEND - DUSTY ROSE,https://www.blackbirdfabrics.com/en-us/collections/fabric/products/go-to-cotton-linen-blend-dusty-rose,"A new wardrobe staple has just entered the chat, introducing our Go-To Cotton Linen Blend! This rustic blend of cotton & linen creates the perfect lightweight, breathable fabric with a crisp drape and stable weave, making it a great choice for sewists of any level. Sew up a variety of makes to wear year-round with this versatile basic, including breezy button ups, gathered skirts & dresses, and relaxed fit pants.","{'Content': '55% Linen / 45% Cotton', 'Width': '132cm / 52”', 'Weight': '175gsm / 5.1oz', 'Opacity': 'Opaque', 'Drape': 'Crisp', 'Country of Origin': 'China'}"
UPTOWN COTTON LYOCELL TWILL - CUMIN,https://www.blackbirdfabrics.com/en-us/collections/fabric/products/uptown-cotton-lyocell-twill-cumin,"Look effortlessly chic in this timeless lyocell cotton twill. Featuring a soft hand and lived-in feel, the cotton content gives this twill its stability while lyocell adds a more relaxed drape and subtle sheen. This versatile midweight woven is well suited to makes such as trousers, jumpsuits, pinafores, & jackets or trench coats.","{'Content': '54% Cotton / 46% Lyocell', 'Width': '142cm / 56”', 'Weight': '280gsm / 8.2oz', 'Opacity': 'Opaque', 'Drape': 'Softy Structured', 'Country of Origin': 'China'}"
SCALLOPED COTTON TRIM - WHITE,https://www.blackbirdfabrics.com/en-us/collections/fabric/products/scalloped-cotton-trim-white,"Lightweight and naturally breathable, this breezy cotton trim features a delicate scalloped edge and enchanting florals. We love this playful cotton trim as a finishing touch for tiered skirts and dresses as well as smaller projects like crop tops and children’s clothing.","{'Content': '100% Cotton', 'Width': '43cm / 17” (Embroidered edge measures 16.5cm / 6.5”)', 'Weight': '104gsm / 3oz', 'Opacity': 'Semi-Opaque', 'Drape': 'Soft', 'Country of Origin': 'India'}"
WINDOWPANE YARN DYED LINEN COTTON - HARBOUR/NAVY,https://www.blackbirdfabrics.com/en-us/collections/fabric/products/windowpane-yarn-dyed-linen-cotton-harbour-navy,"Woven from a breezy blend of linen and cotton, this lightweight woven features a classic yarn-dyed windowpane design that’s sure to be at home in any wardrobe. With a relaxed, washed finish and soft hand, this versatile blend is perfect for everything from gathered dresses & tops to jumpsuits & relaxed fit pants.","{'Content': '80% Linen / 20% Cotton', 'Width': '138cm / 54”', 'Weight': '', 'Opacity': 'Semi-Opaque', 'Drape': 'Soft', 'Country of Origin': 'China'}"
